sound_clean,bgmode_clean,mean_time_s,mean_throughput,error_rate,total_trials
off,dark,3.7750161616161617,2.3529979380468866,0.22424242424242424,495
off,light,2.995660606060606,2.2300926904866802,0.1898989898989899,495
on,dark,4.660418181818182,2.379860738904003,0.21818181818181817,495
on,light,3.8337494949494952,2.211247741516556,0.20606060606060606,495
