mode,participants,total_trials,mean_time_s,median_time_s,mean_ID,mean_throughput,error_rate
Gesture,15,660,8.877851515151516,3.525,3.374027801848977,0.9501283174781322,0.5333333333333333
Mouse,15,660,1.1672348484848485,1.0234999999999999,3.2938580208513915,3.188712885487715,0.05909090909090909
Trackpad,15,660,1.4035469696969696,1.218,3.382733871684681,2.741808128749748,0.03636363636363636
