mode_a,mode_b,n_pairs,t,p
Gesture,Mouse,15,2.4820327820764807,0.02636550614782706
Gesture,Trackpad,15,2.403269916673658,0.030676179364968276
Mouse,Trackpad,15,-3.0081450477547333,0.009398534408095068
